Movie,TrackType,Codec,DurationSec
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,16.57
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,16.91
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,16.34
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,14.57
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,14.31
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,16.83
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,14.38
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,14.93
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,14.28
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,16.28
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,14.66
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,13.95
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,17.68
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,16.89
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,14.64
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,14.49
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,14.58
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,13.42
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,13.79
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,17.00
"ALL",prescan,ffprobe,0.07
"Black Swan (2010).mkv",audio,,2.83
"Black Swan (2010).mkv",audio,,1.70
"ALL",prescan,ffprobe,0.06
"The Dark Knight Rises (2012).mkv",subtitle,subrip,0.21
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,16.25
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,15.74
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,16.70
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,17.19
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,17.00
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,17.12
"ALL",prescan,ffprobe,0.06
"The Favourite - Intrigen und Irrsinn (2018).mkv",subtitle,subrip,0.23
"The Favourite - Intrigen und Irrsinn (2018).mkv",subtitle,hdmv_pgs_subtitle,11.62
"The Favourite - Intrigen und Irrsinn (2018).mkv",subtitle,hdmv_pgs_subtitle,11.18
"The Favourite - Intrigen und Irrsinn (2018).mkv",audio,,2.89
"The Favourite - Intrigen und Irrsinn (2018).mkv",audio,,1.52
"The Favourite - Intrigen und Irrsinn (2018).mkv",muxing,,12.82
"ALL",prescan,ffprobe,0.05
"Das ist das Ende.mkv",audio,,2.17
"ALL",prescan,ffprobe,0.05
"Das ist das Ende.mkv",audio,,2.44
"ALL",prescan,ffprobe,0.05
"Das ist das Ende.mkv",audio,,1.84
"ALL",prescan,ffprobe,0.04
"Das ist das Ende.mkv",audio,,1.82
"ALL",prescan,ffprobe,0.11
"Das ist das Ende.mkv",audio,,1.96
"Die Highligen Drei Könige (2015).mkv",audio,,1.48
"Die Highligen Drei Könige (2015).mkv",audio,,1.48
"ALL",prescan,ffprobe,0.14
"Das ist das Ende.mkv",audio,,1.93
"Die Highligen Drei Könige (2015).mkv",audio,,1.42
"Die Highligen Drei Könige (2015).mkv",audio,,1.36
"ALL",prescan,ffprobe,0.10
"Das ist das Ende.mkv",audio,,2.60
"Die Highligen Drei Könige (2015).mkv",audio,,1.57
